,Indicator,Country,Date,value
198,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-02,1937.0
199,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-02,3710.0
200,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-02,3274.0
201,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-02,0.0
202,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-02,6.0
203,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-02,8.0
204,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-02,0.0
205,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-02,0.0
206,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-02,1.0
207,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-01-30,0.0
208,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-30,1913.0
209,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-30,3700.0
210,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-01-30,3216.0
211,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-30,6.0
212,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-30,8.0
213,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-30,0.0
214,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-30,0.0
215,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-01-30,1.0
216,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-01-29,0.0
217,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-29,1911.0
218,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-29,3700.0
219,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-01-29,3207.0
220,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-29,6.0
221,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-29,8.0
222,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-29,0.0
223,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-29,0.0
224,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-01-29,1.0
225,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-01-28,0.0
226,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-28,3686.0
227,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-28,1910.0
228,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-01-28,3199.0
229,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-28,6.0
230,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-28,8.0
231,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-28,0.0
232,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-28,0.0
233,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-01-28,1.0
234,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-27,1910.0
235,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-01-27,3199.0
236,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-01-27,0.0
237,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-27,3686.0
238,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-27,6.0
239,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-27,8.0
240,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-27,0.0
241,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-27,0.0
242,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-01-27,1.0
243,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-26,3636.0
244,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-01-26,0.0
245,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-26,1906.0
246,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-01-26,3195.0
247,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-26,6.0
248,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-26,8.0
