,Indicator,Country,Date,value
95,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-19,20.0
96,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-19,1.0
97,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-19,1.0
98,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-19,4.0
99,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-18,3108.0
100,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-18,9007.0
101,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-18,11103.0
102,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-18,1.0
103,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-18,8.0
104,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-18,20.0
105,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-18,1.0
106,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-18,1.0
107,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-18,4.0
108,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-17,3108.0
109,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-17,9007.0
110,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-17,11103.0
111,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-17,1.0
112,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-17,8.0
113,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-17,20.0
114,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-17,1.0
115,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-17,1.0
116,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-17,4.0
117,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-16,3101.0
118,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-16,9007.0
119,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-16,11074.0
120,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-16,1.0
121,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-16,8.0
122,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-16,20.0
123,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-16,1.0
124,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-16,1.0
125,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-16,4.0
126,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-13,3081.0
127,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-13,8931.0
128,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-13,10987.0
129,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-13,1.0
130,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-13,8.0
131,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-13,20.0
132,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-13,1.0
133,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-13,1.0
134,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-13,4.0
135,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-12,3068.0
136,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-12,8881.0
137,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-12,10954.0
138,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-12,1.0
139,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-12,8.0
140,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-12,20.0
141,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-12,1.0
142,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-12,1.0
143,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-12,4.0
144,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-11,3044.0
145,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-11,10934.0
146,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-11,8881.0
147,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-11,1.0
148,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-11,8.0
149,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-11,20.0
150,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-11,1.0
151,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-11,1.0
152,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-11,4.0
153,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-10,3044.0
154,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-10,8881.0
155,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-10,10934.0
156,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-10,1.0
157,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-10,8.0
158,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-10,20.0
159,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-10,1.0
160,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-10,1.0
161,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-10,4.0
162,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-06,2988.0
163,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-06,8745.0
164,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-06,10792.0
165,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-06,1.0
166,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-06,8.0
167,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-06,20.0
168,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-06,1.0
169,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-06,1.0
170,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-06,4.0
171,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-05,2986.0
172,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-05,8745.0
173,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-05,10756.0
174,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-05,1.0
175,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-05,8.0
176,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-05,20.0
177,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-05,1.0
178,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-05,1.0
179,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-05,4.0
180,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-04,2975.0
181,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-04,8745.0
182,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-04,10740.0
183,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-04,1.0
184,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-04,8.0
185,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-04,20.0
186,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-04,1.0
187,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-04,1.0
