,Indicator,Country,Date,value
123,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-06,1.0
124,Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-05,1.0
125,Cumulative number of probable Ebola cases,United Kingdom,2015-03-05,0.0
126,Cumulative number of suspected Ebola cases,United Kingdom,2015-03-05,0.0
127,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-05,0.0
128,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-05,3237.0
129,Cumulative number of confirmed Ebola cases,Guinea,2015-03-05,2833.0
130,Cumulative number of probable Ebola cases,Guinea,2015-03-05,392.0
131,Cumulative number of suspected Ebola cases,Guinea,2015-03-05,12.0
132,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-05,2141.0
133,Cumulative number of confirmed Ebola deaths,Guinea,2015-03-05,1749.0
134,Cumulative number of probable Ebola deaths,Guinea,2015-03-05,392.0
135,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-05,9249.0
136,Cumulative number of confirmed Ebola cases,Liberia,2015-03-05,3150.0
137,Cumulative number of probable Ebola cases,Liberia,2015-03-05,1877.0
138,Cumulative number of suspected Ebola cases,Liberia,2015-03-05,4222.0
139,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-05,4117.0
140,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-05,11497.0
141,Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-05,8383.0
142,Cumulative number of probable Ebola cases,Sierra Leone,2015-03-05,287.0
143,Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-05,2827.0
144,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-05,3565.0
145,Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-05,3199.0
146,Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-05,208.0
147,Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-05,158.0
148,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-05,1.0
149,Cumulative number of confirmed Ebola cases,Mali,2015-03-05,7.0
150,Cumulative number of probable Ebola cases,Mali,2015-03-05,1.0
151,Cumulative number of suspected Ebola cases,Mali,2015-03-05,0.0
